player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Antoine Semenyo,FW,Ghana,22-342,Bristol City,2000,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.22,0.00,0.22,0.22,0.22
Antonee Robinson,DF,United States,25-129,Fulham,1997,4,4,359,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.07,0.07,0.00,0.07
Antonio Rüdiger,DF,Germany,29-287,Real Madrid,1993,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.25,0.00,0.25,0.25,0.25
Antony,FW,Brazil,22-294,Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.4,0.15,0.08,0.22,0.15,0.22
António Silva,DF,Portugal,19-046,Benfica,2003,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ao Tanaka,MF,Japan,24-096,Düsseldorf,1998,3,2,171,1.9,1,0,1,0,0,0,0,0.53,0.00,0.53,0.53,0.53,1.0,1.0,0.1,1.0,0.55,0.05,0.60,0.55,0.60
Ardon Jasari,FW,Switzerland,20-138,Luzern,2002,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Arkadiusz Milik,FW,Poland,28-290,Juventus,1994,3,1,101,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.22,0.09,0.31,0.22,0.31
Artur Jędrzejczyk,DF,Poland,35-041,Legia Warsaw,1987,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Asiri Haitham,FW,Saudi Arabia,21-265,Al-Ahli,2001,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Assim Madibo,MF,Qatar,26-054,Al Duhail SC,1996,2,2,153,1.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02
Atiba Hutchinson,MF,Canada,39-310,Beşiktaş,1983,3,2,159,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.00,0.07,0.07,0.07
Aurélien Tchouaméni,MF,France,22-322,Real Madrid,2000,6,6,501,5.6,1,0,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,0.3,0.3,1.0,1.4,0.06,0.18,0.25,0.06,0.25
